lookup round, false positives, percent fp's
1, 267396, 0.111415
2, 74805, 0.031169
3, 22742, 0.009476
4, 7317, 0.003049
5, 2436, 0.001015
6, 827, 0.000345
7, 278, 0.000116
8, 107, 0.000045
9, 37, 0.000015
10, 19, 0.000008
11, 12, 0.000005
12, 2, 0.000001
13, 0, 0.000000
