lookup round, false positives, percent fp's
1, 42873, 0.178638
2, 21122, 0.088008
3, 10711, 0.044629
4, 5225, 0.021771
5, 2670, 0.011125
6, 1357, 0.005654
7, 682, 0.002842
8, 331, 0.001379
9, 164, 0.000683
10, 84, 0.000350
11, 40, 0.000167
12, 19, 0.000079
13, 5, 0.000021
14, 4, 0.000017
15, 1, 0.000004
16, 0, 0.000000
